"table_schema","table_name","table_type"
"public","agent_memory","BASE TABLE"
"public","approval_requests","BASE TABLE"
"public","audit_log","BASE TABLE"
"public","contacts","BASE TABLE"
"public","country_trade_rules","BASE TABLE"
"public","documents","BASE TABLE"
"public","hitl_corrections","BASE TABLE"
"public","hs_codes","BASE TABLE"
"public","logistics_rate_cards","BASE TABLE"
"public","logistics_vendors","BASE TABLE"
"public","messages","BASE TABLE"
"public","order_items","BASE TABLE"
"public","orders","BASE TABLE"
"public","organizations","BASE TABLE"
"public","po_templates","BASE TABLE"
"public","products","BASE TABLE"
"public","prompt_registry","BASE TABLE"
"public","shipment_events","BASE TABLE"
"public","shipments","BASE TABLE"
"public","user_sessions","BASE TABLE"
"public","users","BASE TABLE"
"public","workflow_steps","BASE TABLE"
"public","workflows","BASE TABLE"
